"day","x"
191102,14.1827048345736
191103,11.908751887259
191104,11.2659487643764
191105,12.2129193219435
191106,12.6261534884205
191107,12.9195120463788
191108,13.9564810129579
191109,13.7542174269805
191110,11.0666249433901
191111,12.1005710022275
191112,12.4857047295505
191113,11.1542341398129
191114,10.8033525364879
191115,12.0941631643208
191116,13.6077030832887
191117,10.4101571596048
191118,9.81354166559533
191119,11.253641455285
191120,10.7765685129952
191121,11.5906089494589
191122,12.5389688255055
