day,x
191102,3.472727273
191103,3.1875
191104,3.073482428
191105,3.367741935
191106,3.407407407
191107,3.555214724
191108,3.803921569
191109,3.409594096
191110,3.238866397
191111,3.320422535
191112,3.191275168
191113,3.483552632
191114,3.245283019
191115,3.495440729
191116,3.189830508
191117,2.992424242
191118,2.788927336
191119,3.25083612
191120,3.152647975
191121,3.26984127
191122,3.294670846
