"day","x"
191102,59.1623456790123
191103,36.3761111111111
191104,49.7042288557214
191105,58.8024509803922
191106,46.4318452380952
191107,43.6942857142857
191108,58.2709039548023
191109,57.5784722222222
191110,33.3174242424242
191111,45.386524822695
191112,61.4322695035461
191113,51.3771929824561
191114,57.4305555555556
191115,56.0663522012579
191116,85.0228070175439
191117,40.4993333333333
191118,46.1105769230769
191119,72.1456140350877
191120,49.3595238095238
191121,73.6982142857143
191122,56.9429487179487
