"time","week1","week2","week3"
"(0,30]",0.000791139240506329,0.00225563909774436,0.00153964588144727
"(30,60]",0,0.00300751879699248,0.00153964588144727
"(60,90]",0.00158227848101266,0.00225563909774436,0.0023094688221709
"(90,120]",0.00316455696202532,0.00225563909774436,0.00307929176289453
"(120,150]",0.00316455696202532,0.00526315789473684,0.00538876058506543
"(150,180]",0.00870253164556962,0.0037593984962406,0.0046189376443418
"(180,210]",0.00395569620253165,0.00300751879699248,0.00307929176289453
"(210,240]",0.00395569620253165,0.00902255639097744,0.0069284064665127
"(240,270]",0.00395569620253165,0.00300751879699248,0.00307929176289453
"(270,300]",0.00474683544303797,0.00451127819548872,0.00307929176289453
"(300,330]",0.0126582278481013,0.0037593984962406,0.0100076982294072
"(330,360]",0.0158227848101266,0.0150375939849624,0.0115473441108545
"(360,390]",0.0237341772151899,0.0172932330827068,0.0269438029253272
"(390,420]",0.0522151898734177,0.0481203007518797,0.0500384911470362
"(420,450]",0.055379746835443,0.0631578947368421,0.0638953040800616
"(450,480]",0.0870253164556962,0.0646616541353384,0.0638953040800616
"(480,510]",0.0767405063291139,0.0879699248120301,0.0654349499615089
"(510,540]",0.0656645569620253,0.0496240601503759,0.0623556581986143
"(540,570]",0.0537974683544304,0.0593984962406015,0.0577367205542725
"(570,600]",0.057753164556962,0.0646616541353384,0.0508083140877598
"(600,630]",0.0332278481012658,0.0398496240601504,0.0446497305619707
"(630,660]",0.0261075949367089,0.024812030075188,0.0277136258660508
"(660,690]",0.0221518987341772,0.0285714285714286,0.0192455735180908
"(690,720]",0.0134493670886076,0.018796992481203,0.0284834488067744
"(720,750]",0.0205696202531646,0.024812030075188,0.0215550423402617
"(750,780]",0.0371835443037975,0.0345864661654135,0.0307929176289453
"(780,810]",0.0268987341772152,0.0308270676691729,0.0323325635103926
"(810,840]",0.0316455696202532,0.0338345864661654,0.0331023864511162
"(840,870]",0.0363924050632911,0.0451127819548872,0.0446497305619707
"(870,900]",0.0450949367088608,0.0406015037593985,0.0361816782140108
"(900,930]",0.0300632911392405,0.0315789473684211,0.0392609699769053
"(930,960]",0.0387658227848101,0.0300751879699248,0.0284834488067744
"(960,990]",0.0213607594936709,0.0180451127819549,0.0207852193995381
"(990,1.02e+03]",0.0110759493670886,0.0120300751879699,0.0169361046959199
"(1.02e+03,1.05e+03]",0.00870253164556962,0.0105263157894737,0.0161662817551963
"(1.05e+03,1.08e+03]",0.00949367088607595,0.0105263157894737,0.0100076982294072
"(1.08e+03,1.11e+03]",0.00474683544303797,0.00601503759398496,0.0107775211701309
"(1.11e+03,1.14e+03]",0.00949367088607595,0.00676691729323308,0.0046189376443418
"(1.14e+03,1.17e+03]",0.00316455696202532,0.0037593984962406,0.00538876058506543
"(1.17e+03,1.2e+03]",0.00395569620253165,0.00451127819548872,0.0023094688221709
"(1.2e+03,1.23e+03]",0.00316455696202532,0.00150375939849624,0.00384911470361817
"(1.23e+03,1.26e+03]",0.00158227848101266,0.00601503759398496,0.0046189376443418
"(1.26e+03,1.29e+03]",0.00395569620253165,0.00300751879699248,0.00307929176289453
"(1.29e+03,1.32e+03]",0.0055379746835443,0.0037593984962406,0.00307929176289453
"(1.32e+03,1.35e+03]",0.00158227848101266,0.00451127819548872,0.00384911470361817
"(1.35e+03,1.38e+03]",0.00712025316455696,0.0037593984962406,0.00384911470361817
"(1.38e+03,1.41e+03]",0.00632911392405063,0.00676691729323308,0.00538876058506543
"(1.41e+03,1.44e+03]",0.00237341772151899,0.00300751879699248,0.00153964588144727
