tmc,bt_avg,at1_avg,at2_avg,btat1_vol,btat2_vol,at1at2_vol,btat1_per,btat2_per,at1at2_per
114+08026,75.138,105.491,86.125,30.353,10.987,-19.366,0.40396,0.14622,-0.18358
114+08025,173.174,172.77,179.613,-0.404,6.439,6.843,-0.00233,0.03718,0.03961
114+08028,16.019,16.631,17.846,0.612,1.827,1.215,0.0382,0.11405,0.07306
114+08027,139.507,155.975,150.119,16.468,10.612,-5.856,0.11804,0.07607,-0.03754
114N10105,3.259,3.732,3.23,0.473,-0.029,-0.502,0.14514,-0.0089,-0.13451
114+08024,168.439,173.891,164.207,5.452,-4.232,-9.684,0.03237,-0.02512,-0.05569
114N10106,10.589,9.854,11.159,-0.735,0.57,1.305,-0.06941,0.05383,0.13243
114-14839,29.675,33.967,35.194,4.292,5.519,1.227,0.14463,0.18598,0.03612
114-08017,98.189,105.949,120.574,7.76,22.385,14.625,0.07903,0.22798,0.13804
114-08016,6.967,10.708,8.042,3.741,1.075,-2.666,0.53696,0.1543,-0.24897
114-08015,72.151,76.475,85.789,4.324,13.638,9.314,0.05993,0.18902,0.12179
114+08029,183.732,167.365,177.103,-16.367,-6.629,9.738,-0.08908,-0.03608,0.05818
114-14841,21.355,32.985,28.11,11.63,6.755,-4.875,0.5446,0.31632,-0.14779
114-14840,35.543,31.806,32.734,-3.737,-2.809,0.928,-0.10514,-0.07903,0.02918
114-09139,44.891,44.987,41.706,0.096,-3.185,-3.281,0.00214,-0.07095,-0.07293
114N08025,51.069,44.527,52.698,-6.542,1.629,8.171,-0.1281,0.0319,0.18351
114P07997,0.923,1.223,0.96,0.3,0.037,-0.263,0.32503,0.04009,-0.21504
114-15700,128.301,112.334,120.992,-15.967,-7.309,8.658,-0.12445,-0.05697,0.07707
114-15701,128.295,129.329,192.097,1.034,63.802,62.768,0.00806,0.49731,0.48534
114+14840,241.243,191.595,195.916,-49.648,-45.327,4.321,-0.2058,-0.18789,0.02255
114+14841,95.48,103.947,82.711,8.467,-12.769,-21.236,0.08868,-0.13373,-0.2043
114+08270,23.582,27.657,22.515,4.075,-1.067,-5.142,0.1728,-0.04525,-0.18592
114+08273,100.63,102.072,94.479,1.442,-6.151,-7.593,0.01433,-0.06112,-0.07439
114+10106,24.501,25.452,26.501,0.951,2,1.049,0.03881,0.08163,0.04121
114+08289,133.333,131.823,136.714,-1.51,3.381,4.891,-0.01133,0.02536,0.0371
114P04118,3.253,4.863,3.705,1.61,0.452,-1.158,0.49493,0.13895,-0.23812
114-11598,153.815,145.707,152.771,-8.108,-1.044,7.064,-0.05271,-0.00679,0.04848
114-11599,152.375,158.215,183.439,5.84,31.064,25.224,0.03833,0.20387,0.15943
114P51377,0.914,0.984,1.002,0.07,0.088,0.018,0.07659,0.09628,0.01829
114+09140,53.758,56.265,52.813,2.507,-0.945,-3.452,0.04663,-0.01758,-0.06135
114+11599,221.899,264.486,241.228,42.587,19.329,-23.258,0.19192,0.08711,-0.08794
114N08211,4.571,4.733,4.965,0.162,0.394,0.232,0.03544,0.0862,0.04902
114N08342,4.324,3.622,3.631,-0.702,-0.693,0.009,-0.16235,-0.16027,0.00248
114N08100,6.969,5.962,6.23,-1.007,-0.739,0.268,-0.1445,-0.10604,0.04495
114+11338,50.551,53.423,63.797,2.872,13.246,10.374,0.05681,0.26203,0.19419
114N51377,0.747,0.785,0.681,0.038,-0.066,-0.104,0.05087,-0.08835,-0.13248
114-10562,187.728,192.613,192.367,4.885,4.639,-0.246,0.02602,0.02471,-0.00128
114N08347,6.651,8.132,10.453,1.481,3.802,2.321,0.22267,0.57164,0.28542
114N08104,3.289,3.501,4.275,0.212,0.986,0.774,0.06446,0.29979,0.22108
114N08345,2.539,3.219,2.714,0.68,0.175,-0.505,0.26782,0.06892,-0.15688
114N04193,8.663,18.113,15.479,9.45,6.816,-2.634,1.09085,0.78679,-0.14542
114N04192,5.271,6.631,6.595,1.36,1.324,-0.036,0.25802,0.25119,-0.00543
114N04195,3.576,4.042,3.622,0.466,0.046,-0.42,0.13031,0.01286,-0.10391
114N04194,10.383,17.162,14.165,6.779,3.782,-2.997,0.65289,0.36425,-0.17463
114+08079,67.714,101.939,137.789,34.225,70.075,35.85,0.50543,1.03487,0.35168
114+10283,323.207,264.903,313.486,-58.304,-9.721,48.583,-0.18039,-0.03008,0.1834
114+10166,61.833,56.832,61.919,-5.001,0.086,5.087,-0.08088,0.00139,0.08951
114N04197,25.382,17.307,16.237,-8.075,-9.145,-1.07,-0.31814,-0.36029,-0.06182
114+10168,134.546,129.504,125.297,-5.042,-9.249,-4.207,-0.03747,-0.06874,-0.03249
114N04196,3.341,4.029,3.68,0.688,0.339,-0.349,0.20593,0.10147,-0.08662
114+10169,211.109,239.774,181.079,28.665,-30.03,-58.695,0.13578,-0.14225,-0.24479
114N04198,76.023,51.643,43.158,-24.38,-32.865,-8.485,-0.32069,-0.4323,-0.1643
114-10219,124.496,128.809,121.235,4.313,-3.261,-7.574,0.03464,-0.02619,-0.0588
114-08272,79.559,83.979,88.797,4.42,9.238,4.818,0.05556,0.11612,0.05737
114-10105,24.833,30.409,30.245,5.576,5.412,-0.164,0.22454,0.21794,-0.00539
114-08271,9.217,12.632,14.823,3.415,5.606,2.191,0.37051,0.60822,0.17345
114-08270,3.677,5.047,5.853,1.37,2.176,0.806,0.37259,0.59179,0.1597
114+10273,115.572,129.104,109.057,13.532,-6.515,-20.047,0.11709,-0.05637,-0.15528
114+08080,25.523,31.021,37.233,5.498,11.71,6.212,0.21541,0.4588,0.20025
sr99_s,622.713,574.576,583.167,-48.137,-39.546,8.591,-0.077302064,-0.063505981,0.014951895
sr99_n,590.032,496.556,581.552,-93.476,-8.48,84.996,-0.158425306,-0.014372102,0.171171026
